feature	lineage	contrast	level_a	level_b	effect_a_minus_b	pvalue	FDR	direction_consistency	n_a_total	n_b_total	n_strata	included_strata	design_strength
score_activation_ADT	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.07981069069006819	0.007153229952115697	0.028612919808462787	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_proliferation	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.01813563307640581	0.019179041671382818	0.05114411112368752	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_naive_memory	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.04985695425159866	0.04223378909921745	0.0844675781984349	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_interferon_response	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.10396886422957466	0.08268378263656712	0.13229405221850737	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_activation_immediate	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.037581208706883314	0.14232898577449085	0.18159520904730314	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_cytotoxicity	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.017153203909653178	0.15889580791639024	0.18159520904730314	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_effector_cytokine	CD4	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.017472119461993514	0.9444314052061747	0.9444314052061747	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_cytotoxicity	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.12767124780125422	0.00029980460456249905	0.0023984368364999924	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_activation_ADT	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.2118030253244731	0.004774385001550242	0.019097540006200966	1.0	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_naive_memory	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.11276600612780524	0.04780092127179147	0.12746912339144392	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_effector_cytokine	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.005415905010012397	0.2293865529514425	0.367018484722308	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_dysfunction	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	-0.05883539738149658	0.2232236216543928	0.367018484722308	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_activation_immediate	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.021626611346330916	0.4881550665310368	0.6075688057945994	0.75	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_proliferation	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.10131527562432067	0.5316227050702744	0.6075688057945994	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
score_interferon_response	CD8	relevant_vs_irrelevant	relevant_peptide	irrelevant_peptide	0.041351773150575574	0.9064009393159957	0.9064009393159957	0.5	20	18	4	time_hours=12,checkpoint_blockade=False;time_hours=48,checkpoint_blockade=False;time_hours=12,checkpoint_blockade=True;time_hours=48,checkpoint_blockade=True	supported
