protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
anti-mouse CD127 (IL-7R)	CD8	RNA_activation	42	0.04316612705588341	0.6190476190476191	0.04611554369330406	0.14164059848657676	False	True
anti-mouse CD85k (gp49 Receptor)	CD8	RNA_activation	42	0.041384801268577576	0.5952380952380952	0.04611554369330406	0.14164059848657676	False	True
anti-mouse CD200R3	CD8	RNA_activation	42	-0.03569822013378143	0.3333333333333333	0.05185692012310028	0.15557076036930084	False	True
anti-mouse CD86	CD8	RNA_activation	42	-0.05758141353726387	0.4523809523809524	0.05986298993229866	0.17160723780592282	False	True
anti-mouse CD9	CD8	RNA_activation	42	0.023279808461666107	0.5714285714285714	0.05986298993229866	0.17160723780592282	False	True
anti-mouse IL-33R (IL1RL1, ST2)	CD8	RNA_activation	42	0.03228102624416351	0.6190476190476191	0.07079668343067169	0.1985385252729706	False	True
anti-mouse NK-1.1	CD8	RNA_activation	42	0.03959682583808899	0.6428571428571429	0.07276918739080429	0.19972819517901605	False	True
anti-mouse/human CD44	CD8	RNA_activation	42	0.04218818247318268	0.5952380952380952	0.07684909552335739	0.206531944219023	False	True
anti-mouse CD103	CD8	RNA_activation	42	0.04044222831726074	0.6190476190476191	0.09021846950054169	0.23751392990958933	False	True
anti-mouse CD93 (AA4.1, early B lineage)	CD8	RNA_activation	42	-0.014848053455352783	0.35714285714285715	0.10811565071344376	0.2789383788406849	False	True
anti-mouse CD371 (CLEC12A)	CD8	RNA_activation	42	0.023178279399871826	0.6428571428571429	0.11088742315769196	0.28047995269298553	False	True
anti-mouse CD226 (DNAM-1)	CD8	RNA_activation	42	-0.051449283957481384	0.4523809523809524	0.11659908294677734	0.28925541731027454	False	True
anti-mouse/rat/human CD27	CD8	RNA_activation	42	-0.013495773077011108	0.4523809523809524	0.13188976049423218	0.31506998340288794	False	True
anti-mouse CD49a	CD8	RNA_activation	42	0.020685911178588867	0.5714285714285714	0.13188976049423218	0.31506998340288794	False	True
anti-mouse I-A/I-E	CD8	RNA_activation	42	0.015979288145899773	0.6190476190476191	0.1384243667125702	0.3153468352453462	False	True
anti-mouse TCR /	CD8	RNA_activation	42	-0.03828972578048706	0.40476190476190477	0.14178384840488434	0.3153468352453462	False	True
anti-mouse CD64 (FcRI)	CD8	RNA_activation	42	0.00760013610124588	0.5	0.14178384840488434	0.3153468352453462	False	True
anti-mouse CD170 (Siglec-F)	CD8	RNA_activation	42	0.011579083278775215	0.6428571428571429	0.14178384840488434	0.3153468352453462	False	True
anti-mouse CD200 (OX2)	CD8	RNA_activation	42	0.0234430730342865	0.5714285714285714	0.15223844349384308	0.33286032560518236	False	True
anti-mouse F4/80	CD8	RNA_activation	42	0.022214923053979874	0.6666666666666666	0.15585070848464966	0.3350790232419968	False	True
anti-mouse CD26 (DPP-4)	CD8	RNA_activation	42	0.023618340492248535	0.5952380952380952	0.15952759981155396	0.3373616455031223	False	True
anti-mouse Ly-6C	CD8	RNA_activation	42	0.04468739032745361	0.6190476190476191	0.18297846615314484	0.3711042025071733	False	True
Mouse IgG2a,  isotype Ctrl	CD8	RNA_activation	42	-0.022767335176467896	0.42857142857142855	0.1956208199262619	0.3711042025071733	False	True
anti-mouse/human CD45R/B220	CD8	RNA_activation	42	-0.01249784231185913	0.4523809523809524	0.17890191078186035	0.3711042025071733	False	True
anti-mouse CD115 (CSF-1R)	CD8	RNA_activation	42	-0.021941453218460083	0.4523809523809524	0.18712347745895386	0.3711042025071733	False	True
anti-mouse CD63	CD8	RNA_activation	42	0.01372876763343811	0.5952380952380952	0.18712347745895386	0.3711042025071733	False	True
anti-mouse CX3CR1	CD8	RNA_activation	42	0.010872941464185715	0.5952380952380952	0.1956208199262619	0.3711042025071733	False	True
anti-mouse CD205 (DEC-205)	CD8	RNA_activation	42	-0.008243709802627563	0.47619047619047616	0.1913374662399292	0.3711042025071733	False	True
anti-mouse CD274 (B7-H1, PD-L1)	CD8	RNA_activation	42	0.016496524214744568	0.5476190476190477	0.19997404515743256	0.37386451920737396	False	True
anti-mouse CD155 (PVR)	CD8	RNA_activation	42	0.012624353170394897	0.5952380952380952	0.20889194309711456	0.38495800942182545	False	True
anti-mouse CD83	CD8	RNA_activation	42	0.020662806928157806	0.6190476190476191	0.22280353307724	0.39918966343005496	False	True
anti-mouse CD317 (BST2, PDCA-1)	CD8	RNA_activation	42	0.022389277815818787	0.5714285714285714	0.22280353307724	0.39918966343005496	False	True
anti-mouse PIR-A/B	CD8	RNA_activation	42	0.01984870433807373	0.5714285714285714	0.23243893682956696	0.4107482582330704	False	True
anti-mouse CD185 (CXCR5)	CD8	RNA_activation	42	0.0075024887919425964	0.5238095238095238	0.24236634373664856	0.42250349110848195	False	True
anti-mouse CD159a (NKG2AB6)	CD8	RNA_activation	42	0.014986656606197357	0.6190476190476191	0.26847806572914124	0.4617822730541229	False	True
anti-mouse TER-119/Erythroid Cells	CD8	RNA_activation	42	0.012892097234725952	0.5714285714285714	0.2907126545906067	0.4934464795024771	False	True
anti-human/mouse CD49f	CD8	RNA_activation	42	0.030950799584388733	0.6190476190476191	0.2964595556259155	0.4966660087758845	False	True
anti-mouse CD54	CD8	RNA_activation	42	-0.050337016582489014	0.38095238095238093	0.3141535520553589	0.5195616437838628	False	True
anti-mouse Siglec H	CD8	RNA_activation	42	0.010502900928258896	0.5714285714285714	0.3202027976512909	0.5228627961647662	False	True
anti-mouse CD5	CD8	RNA_activation	42	-0.03520822525024414	0.42857142857142855	0.3325282633304596	0.529582049007769	False	True
anti-mouse FcRI	CD8	RNA_activation	42	-0.013902038335800171	0.42857142857142855	0.3325282633304596	0.529582049007769	False	True
anti-mouse/rat CD29	CD8	RNA_activation	42	0.019303172826766968	0.5476190476190477	0.3515831530094147	0.5531003260757865	False	True
Rat IgG2a,  Isotype Ctrl	CD8	RNA_activation	42	-0.009362101554870605	0.4523809523809524	0.37131550908088684	0.5771048273666796	False	True
anti-mouse IgD	CD8	RNA_activation	42	0.016950547695159912	0.5476190476190477	0.3848446011543274	0.591011351772717	False	True
Mouse IgG1,  isotype Ctrl	CD8	RNA_activation	42	-0.002794921398162842	0.5	0.405694842338562	0.608542263507843	False	True
anti-mouse Tim-4	CD8	RNA_activation	42	-0.013510525226593018	0.4523809523809524	0.405694842338562	0.608542263507843	False	True
anti-mouse CD301b	CD8	RNA_activation	42	-0.018784532323479652	0.40476190476190477	0.4127921462059021	0.6120711133397859	False	True
Mouse IgG2b,  isotype Ctrl	CD8	RNA_activation	42	0.0005531907081604004	0.5	0.44190800189971924	0.6405183398321773	False	True
anti-mouse CD304 (Neuropilin-1)	CD8	RNA_activation	42	0.010403156280517578	0.5714285714285714	0.44190800189971924	0.6405183398321773	False	True
anti-mouse CD90.2	CD8	RNA_activation	42	-0.028992891311645508	0.40476190476190477	0.47216516733169556	0.6767700731754303	False	True
anti-mouse CD270 (HVEM)	CD8	RNA_activation	42	-0.021293282508850098	0.42857142857142855	0.495587021112442	0.7025354475110441	False	True
anti-mouse CD4	CD8	RNA_activation	42	-0.002309858798980713	0.47619047619047616	0.503529965877533	0.7060365825891495	False	True
anti-mouse CD199 (CCR9)	CD8	RNA_activation	42	0.006721571087837219	0.5476190476190477	0.5609571933746338	0.7698242334609336	False	True
anti-mouse CD2	CD8	RNA_activation	42	0.012813687324523926	0.5238095238095238	0.5609571933746338	0.7698242334609336	False	True
anti-mouse CD186 (CXCR6)	CD8	RNA_activation	42	-0.029272526502609253	0.42857142857142855	0.5694127082824707	0.773202519667776	False	True
anti-mouse CD79b (Ig)	CD8	RNA_activation	42	-0.003688037395477295	0.4523809523809524	0.5779285430908203	0.7765914797782898	False	True
anti-mouse/rat CD81	CD8	RNA_activation	42	-0.003257453441619873	0.47619047619047616	0.5951376557350159	0.7914717277300727	False	True
