protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
anti-mouse CD64 (FcRI)	CD4	RNA_activation	47	-0.03385719656944275	0.425531914893617	0.21567432582378387	0.2898123753257096	False	True
anti-mouse CD63	CD4	RNA_activation	47	-0.00786861777305603	0.425531914893617	0.22362390160560608	0.29739673512498127	False	True
anti-mouse CD85k (gp49 Receptor)	CD4	RNA_activation	47	-0.028699159622192383	0.40425531914893614	0.2710949778556824	0.3568495116671737	False	True
anti-mouse CD138 (Syndecan-1)	CD4	RNA_activation	47	-0.01326955109834671	0.44680851063829785	0.2804183065891266	0.36539355101007404	False	True
anti-mouse CD170 (Siglec-F)	CD4	RNA_activation	47	-0.017562121152877808	0.44680851063829785	0.3250463008880615	0.41930972814559936	False	True
anti-mouse CD186 (CXCR6)	CD4	RNA_activation	47	0.020995378494262695	0.5319148936170213	0.34628885984420776	0.4422897318802258	False	True
Rat IgG1,  Isotype Ctrl	CD4	RNA_activation	47	-0.0012056827545166016	0.46808510638297873	0.38553833961486816	0.48285869718755337	False	True
anti-mouse CD83	CD4	RNA_activation	47	-0.014600038528442383	0.425531914893617	0.38553833961486816	0.48285869718755337	False	True
anti-mouse CD107a (LAMP-1)	CD4	RNA_activation	47	-0.0203932486474514	0.40425531914893614	0.42125603556632996	0.5225195056543901	False	True
anti-mouse F4/80	CD4	RNA_activation	47	-0.02826090157032013	0.425531914893617	0.43358027935028076	0.5326843432017735	False	True
anti-mouse Ly-6A/E (Sca-1)	CD4	RNA_activation	47	0.07209086418151855	0.5531914893617021	0.4652869403362274	0.5662454273903145	False	True
anti-mouse TER-119/Erythroid Cells	CD4	RNA_activation	47	-0.033501505851745605	0.3404255319148936	0.4783216118812561	0.5713285919692781	False	True
Rat IgG2c,  Isotype Ctrl	CD4	RNA_activation	47	-0.028183937072753906	0.3829787234042553	0.4783216118812561	0.5713285919692781	False	True
anti-mouse PIR-A/B	CD4	RNA_activation	47	-0.0018277764320373535	0.48936170212765956	0.5185956358909607	0.6137507984397609	False	True
anti-mouse CD169/Siglec-1	CD4	RNA_activation	47	-0.018336832523345947	0.425531914893617	0.5254744291305542	0.6162381941621954	False	True
anti-mouse NK-1.1	CD4	RNA_activation	47	-0.01835271716117859	0.48936170212765956	0.5323995351791382	0.6187345949379174	False	True
anti-mouse CD86	CD4	RNA_activation	47	-0.0023435354232788086	0.48936170212765956	0.5821326971054077	0.6704921243446214	False	True
anti-human/mouse CD49f	CD4	RNA_activation	47	-0.01132994145154953	0.40425531914893614	0.604091465473175	0.6776330351829528	False	True
anti-mouse VISTA (PD-1H)	CD4	RNA_activation	47	-0.0035895109176635742	0.46808510638297873	0.604091465473175	0.6776330351829528	False	True
anti-mouse/rat CD81	CD4	RNA_activation	47	-0.010858535766601562	0.48936170212765956	0.604091465473175	0.6776330351829528	False	True
anti-mouse CD304 (Neuropilin-1)	CD4	RNA_activation	47	-0.009942829608917236	0.44680851063829785	0.6189342141151428	0.6882975312142536	False	True
anti-mouse Ly-49A	CD4	RNA_activation	47	-0.010058403015136719	0.46808510638297873	0.6875942349433899	0.7581167205786095	False	True
anti-mouse CD40	CD4	RNA_activation	47	-0.013053007423877716	0.48936170212765956	0.7190016508102417	0.7860272284281457	False	True
anti-mouse CD102	CD4	RNA_activation	47	-0.005139589309692383	0.48936170212765956	0.7428761720657349	0.805302741146889	False	True
anti-mouse CD9	CD4	RNA_activation	47	-0.005479559302330017	0.48936170212765956	0.7508909702301025	0.8072077929973602	False	True
anti-mouse CD55 (DAF)	CD4	RNA_activation	47	0.008764147758483887	0.5106382978723404	0.7995173335075378	0.8523779836567965	False	True
anti-mouse/human CD11b	CD4	RNA_activation	47	0.001046299934387207	0.5106382978723404	0.8241384625434875	0.8643403387651211	False	True
anti-mouse CD115 (CSF-1R)	CD4	RNA_activation	47	-0.00981825590133667	0.48936170212765956	0.8241384625434875	0.8643403387651211	False	True
anti-mouse CD31	CD4	RNA_activation	47	-0.01741747558116913	0.425531914893617	0.8572336435317993	0.8917995162548557	False	True
anti-mouse CD5	CD4	RNA_activation	47	-0.017095088958740234	0.48936170212765956	0.932533860206604	0.9547370473543804	False	True
anti-mouse CD45.2	CD4	RNA_activation	47	0.0012691617012023926	0.5106382978723404	0.932533860206604	0.9547370473543804	False	True
anti-mouse CD106	CD4	RNA_activation	47	0.019825130701065063	0.5531914893617021	0.9578030109405518	0.9728865229238676	False	True
anti-mouse CD24	CD4	RNA_activation	47	0.003614962100982666	0.5106382978723404	0.9915568232536316	0.9993033609353006	False	True
anti-mouse CD366 (Tim-3)	CD4	RNA_activation	47	-0.002500563859939575	0.48936170212765956	1.0	1.0	False	True
anti-mouse CD25	CD8	ADT_activation	42	0.5641958713531494	1.0	1.647939384952224e-08	4.5718625791835165e-07	True	False
anti-mouse CD137	CD8	ADT_activation	42	0.6472376585006714	1.0	1.647939384952224e-08	4.5718625791835165e-07	True	False
anti-mouse CD69	CD8	ADT_activation	42	0.569193959236145	1.0	1.647939384952224e-08	4.5718625791835165e-07	True	False
anti-mouse CD71	CD8	ADT_activation	42	1.1614004373550415	1.0	1.647939384952224e-08	4.5718625791835165e-07	True	False
anti-mouse CD107a (LAMP-1)	CD8	ADT_activation	42	0.19846943020820618	0.9761904761904762	1.772039759373456e-08	4.5718625791835165e-07	False	True
anti-mouse CD134 (OX-40)	CD8	ADT_activation	42	0.39132753014564514	0.9761904761904762	2.5418124494080985e-08	5.464896766227412e-07	True	False
anti-mouse CD127 (IL-7R)	CD8	ADT_activation	42	-0.20207053422927856	0.07142857142857142	6.3791318893891e-08	1.1755828767588485e-06	False	True
anti-mouse CD49b	CD8	ADT_activation	42	-0.15641486644744873	0.047619047619047616	9.025948344287826e-08	1.293719262681255e-06	False	True
anti-mouse CD63	CD8	ADT_activation	42	0.1764279156923294	0.9285714285714286	9.025948344287826e-08	1.293719262681255e-06	False	True
anti-mouse Ly-6C	CD8	ADT_activation	42	-0.23185747861862183	0.07142857142857142	1.560392917099307e-07	2.012906863058106e-06	False	True
anti-mouse CD62L	CD8	ADT_activation	42	-0.265097439289093	0.09523809523809523	2.1861650623122841e-07	2.563775391257133e-06	False	True
anti-mouse CD31	CD8	ADT_activation	42	-0.23510435223579407	0.14285714285714285	8.110278031381313e-07	8.718548883734911e-06	False	True
anti-mouse Ly108	CD8	ADT_activation	42	-0.1921483278274536	0.16666666666666666	1.7299838646067656e-06	1.7166762964174828e-05	False	True
anti-mouse CD223 (LAG-3)	CD8	ADT_activation	42	0.18533727526664734	0.8333333333333334	2.216222128481604e-06	2.0269399010430787e-05	False	True
anti-mouse CD55 (DAF)	CD8	ADT_activation	42	-0.2299043834209442	0.09523809523809523	2.3569068616779987e-06	2.0269399010430787e-05	False	True
anti-mouse VISTA (PD-1H)	CD8	ADT_activation	42	0.1109207272529602	0.8333333333333334	3.398935177756357e-06	2.740391487066063e-05	False	True
anti-mouse CD36	CD8	ADT_activation	42	-0.12418027222156525	0.11904761904761904	4.325498593971133e-06	3.282290109542801e-05	False	True
anti-mouse CD366 (Tim-3)	CD8	ADT_activation	42	0.0956508219242096	0.8333333333333334	6.557407232321566e-06	4.699475183163789e-05	False	True
anti-mouse CD270 (HVEM)	CD8	ADT_activation	42	-0.18768544495105743	0.16666666666666666	7.375185305136256e-06	5.007362654539879e-05	False	True
anti-mouse CD120b (TNF R Type II/p75)	CD8	ADT_activation	42	0.10129192471504211	0.7857142857142857	8.787054866843391e-06	5.667650389113988e-05	False	True
anti-mouse CD73	CD8	ADT_activation	42	-0.2996842861175537	0.16666666666666666	1.1075355359935202e-05	6.80343257824591e-05	False	True
anti-human/mouse integrin 7	CD8	ADT_activation	42	-0.14473235607147217	0.16666666666666666	1.4741290215170011e-05	8.64375653525878e-05	False	True
anti-mouse CD279 (PD-1)	CD8	ADT_activation	42	0.3162975311279297	0.7857142857142857	2.311181197001133e-05	0.00012962711931006354	False	True
anti-mouse/human CD11b	CD8	ADT_activation	42	-0.13065063953399658	0.14285714285714285	4.7024746891111135e-05	0.00025275801453972235	False	True
anti-mouse CD43	CD8	ADT_activation	42	-0.11451029777526855	0.2619047619047619	4.961380182066932e-05	0.0002560072173946537	False	True
anti-mouse CD226 (DNAM-1)	CD8	ADT_activation	42	-0.14301255345344543	0.21428571428571427	6.471596861956641e-05	0.00032109076738169487	False	True
anti-mouse CD160	CD8	ADT_activation	42	0.10788294672966003	0.8095238095238095	9.329670137958601e-05	0.00044575090659135534	False	True
anti-mouse CD371 (CLEC12A)	CD8	ADT_activation	42	-0.09980887174606323	0.14285714285714285	0.00012061315646860749	0.0005365205925672539	False	True
anti-mouse CD22	CD8	ADT_activation	42	-0.12237969040870667	0.19047619047619047	0.00012061315646860749	0.0005365205925672539	False	True
anti-mouse CD85k (gp49 Receptor)	CD8	ADT_activation	42	0.10909333825111389	0.7619047619047619	0.00016334271640516818	0.0007023736805422231	False	True
anti-mouse CD103	CD8	ADT_activation	42	-0.14095091819763184	0.21428571428571427	0.00017172176740132272	0.0007145841288635687	False	True
anti-mouse CD186 (CXCR6)	CD8	ADT_activation	42	0.1658201515674591	0.8095238095238095	0.00020945080905221403	0.0008443485739917378	False	True
anti-mouse CD4	CD8	ADT_activation	42	-0.07667773962020874	0.2857142857142857	0.00023111315385904163	0.0008697341315079635	False	True
Mouse IgG2b,  isotype Ctrl	CD8	ADT_activation	42	-0.10602641105651855	0.19047619047619047	0.00024271650181617588	0.0008697341315079635	False	True
anti-mouse TCR  chain	CD8	ADT_activation	42	-0.13162988424301147	0.19047619047619047	0.00023111315385904163	0.0008697341315079635	False	True
anti-mouse CD86	CD8	ADT_activation	42	-0.1394234001636505	0.16666666666666666	0.00024271650181617588	0.0008697341315079635	False	True
anti-human/mouse CD49f	CD8	ADT_activation	42	-0.11614195257425308	0.2619047619047619	0.0002675812575034797	0.0009329184383229427	False	True
anti-mouse CD49d	CD8	ADT_activation	42	-0.08860404789447784	0.2619047619047619	0.00029481874662451446	0.0010008320609095358	False	True
anti-mouse CD19	CD8	ADT_activation	42	-0.11708801984786987	0.14285714285714285	0.0005456925136968493	0.0017598583566723392	False	True
anti-mouse CD357 (GITR)	CD8	ADT_activation	42	0.1480928510427475	0.8095238095238095	0.0005456925136968493	0.0017598583566723392	False	True
anti-mouse CD93 (AA4.1, early B lineage)	CD8	ADT_activation	42	-0.09643203020095825	0.21428571428571427	0.0007189710158854723	0.002262128318273803	False	True
Rat IgG2b,  Isotype Ctrl	CD8	ADT_activation	42	-0.10635709762573242	0.21428571428571427	0.0008236273424699903	0.0025297125518721126	False	True
Rat IgG2c,  Isotype Ctrl	CD8	ADT_activation	42	-0.06337159872055054	0.16666666666666666	0.000861541775520891	0.002584625326562673	False	True
anti-mouse CD54	CD8	ADT_activation	42	0.1499326378107071	0.7857142857142857	0.0013998307986184955	0.003925612456995345	False	True
anti-mouse NK-1.1	CD8	ADT_activation	42	-0.04750756919384003	0.2857142857142857	0.0013998307986184955	0.003925612456995345	False	True
anti-mouse CD150 (SLAM)	CD8	ADT_activation	42	0.12441124022006989	0.6904761904761905	0.0013998307986184955	0.003925612456995345	False	True
anti-mouse JAML	CD8	ADT_activation	42	0.03628307580947876	0.6666666666666666	0.001461697742342949	0.004011893803451924	False	True
anti-mouse FcRI	CD8	ADT_activation	42	-0.07626237720251083	0.2857142857142857	0.0016627359436824918	0.004468602848646697	False	True
Rat IgG2a,  Isotype Ctrl	CD8	ADT_activation	42	-0.08603531122207642	0.19047619047619047	0.002055091317743063	0.0053021355997771025	False	True
anti-mouse CD45.1	CD8	ADT_activation	42	-0.06102767586708069	0.19047619047619047	0.002055091317743063	0.0053021355997771025	False	True
anti-mouse CD200 (OX2)	CD8	ADT_activation	42	0.06458306312561035	0.7857142857142857	0.002143103163689375	0.0054207903552143015	False	True
anti-mouse CD23	CD8	ADT_activation	42	-0.0796540379524231	0.23809523809523808	0.0024282787926495075	0.0060239993125343555	False	True
Armenian Hamster IgG Isotype Ctrl	CD8	ADT_activation	42	-0.09181815385818481	0.21428571428571427	0.002530797151848674	0.006159864765820357	False	True
anti-mouse Ly-49A	CD8	ADT_activation	42	-0.05677938461303711	0.23809523809523808	0.0026372598949819803	0.006300120860234731	False	True
anti-mouse CD317 (BST2, PDCA-1)	CD8	ADT_activation	42	0.04714583605527878	0.7142857142857143	0.002747804159298539	0.006444849755445665	False	True
anti-mouse CD205 (DEC-205)	CD8	ADT_activation	42	-0.04264000058174133	0.23809523809523808	0.0031053090933710337	0.00715330130437256	False	True
anti-mouse/human CD45R/B220	CD8	ADT_activation	42	-0.08171483874320984	0.2619047619047619	0.0033666843082755804	0.007619338171360524	False	True
anti-mouse Ly49D	CD8	ADT_activation	42	-0.09791219234466553	0.23809523809523808	0.0036479465197771788	0.008113536225021655	False	True
anti-mouse CD9	CD8	ADT_activation	42	0.047510068863630295	0.6190476190476191	0.004624632652848959	0.010111484952839249	False	True
anti-mouse CD24	CD8	ADT_activation	42	-0.1353486180305481	0.23809523809523808	0.005613184068351984	0.012068345746956765	False	True
anti-mouse Tim-4	CD8	ADT_activation	42	-0.08286553621292114	0.30952380952380953	0.006537144538015127	0.013824453203343466	False	True
anti-mouse CD3	CD8	ADT_activation	42	-0.030522942543029785	0.35714285714285715	0.007883279584348202	0.016402307522272872	False	True
anti-mouse CD79b (Ig)	CD8	ADT_activation	42	-0.09450411796569824	0.2857142857142857	0.008487856946885586	0.017379897557908582	False	True
anti-mouse CD304 (Neuropilin-1)	CD8	ADT_activation	42	0.05678224563598633	0.7142857142857143	0.008805429562926292	0.017748443962773308	False	True
anti-mouse CD8a	CD8	ADT_activation	42	-0.05701470375061035	0.35714285714285715	0.009472583420574665	0.018799434788525103	False	True
anti-mouse CD49a	CD8	ADT_activation	42	-0.059775710105895996	0.30952380952380953	0.010184455662965775	0.019905981523069466	False	True
anti-mouse CD102	CD8	ADT_activation	42	-0.064247727394104	0.30952380952380953	0.010557945817708969	0.020327985231111297	False	True
Mouse IgG1,  isotype Ctrl	CD8	ADT_activation	42	-0.07382363080978394	0.2619047619047619	0.011341666802763939	0.02151580908171394	False	True
anti-mouse CD21/CD35 (CR2/CR1)	CD8	ADT_activation	42	-0.07049232721328735	0.2857142857142857	0.016086140647530556	0.030074089036687564	False	True
anti-mouse CD272 (BTLA)	CD8	ADT_activation	42	-0.06171296536922455	0.40476190476190477	0.01842619851231575	0.03395685154412474	False	True
anti-mouse CD8b (Ly-3)	CD8	ADT_activation	42	-0.07652336359024048	0.35714285714285715	0.019704202190041542	0.035800592711483926	False	True
anti-mouse CD115 (CSF-1R)	CD8	ADT_activation	42	-0.05634164810180664	0.30952380952380953	0.021058958023786545	0.037730633125950895	False	True
anti-mouse CD48	CD8	ADT_activation	42	-0.060944318771362305	0.35714285714285715	0.022494150325655937	0.039749936876844055	False	True
anti-mouse CD20	CD8	ADT_activation	42	0.0614280104637146	0.6904761904761905	0.024806184694170952	0.04324321385875747	False	True
anti-mouse CD155 (PVR)	CD8	ADT_activation	42	0.05123024433851242	0.6428571428571429	0.028207173570990562	0.048516338542103764	False	True
anti-mouse PIR-A/B	CD8	ADT_activation	42	-0.03480309247970581	0.3333333333333333	0.03005341626703739	0.05101171971641873	False	True
anti-mouse TER-119/Erythroid Cells	CD8	ADT_activation	42	-0.047355055809020996	0.2857142857142857	0.04476693272590637	0.07499914703431068	False	True
anti-mouse CD106	CD8	ADT_activation	42	0.02816072106361389	0.6190476190476191	0.04611554369330406	0.07626801456969519	False	True
Mouse IgG2a,  isotype Ctrl	CD8	ADT_activation	42	-0.03452414274215698	0.30952380952380953	0.05338222160935402	0.08607883234508336	False	True
anti-mouse CD172a (SIRP)	CD8	ADT_activation	42	0.02158360183238983	0.5952380952380952	0.05338222160935402	0.08607883234508336	False	True
anti-mouse CD301a	CD8	ADT_activation	42	-0.03150761127471924	0.35714285714285715	0.06158141791820526	0.09807411001788245	False	True
Rat IgG1,  Isotype Ctrl	CD8	ADT_activation	42	-0.03335815668106079	0.3333333333333333	0.06698321551084518	0.10537603415730523	False	True
anti-mouse CD11c	CD8	ADT_activation	42	-0.12152710556983948	0.38095238095238093	0.06886826455593109	0.10703621840620615	False	True
anti-mouse/rat CD29	CD8	ADT_activation	42	-0.07222914695739746	0.38095238095238093	0.07276918739080429	0.11175268063587801	False	True
anti-mouse CD199 (CCR9)	CD8	ADT_activation	42	0.033051490783691406	0.6428571428571429	0.08331676572561264	0.12644544445416508	False	True
anti-mouse CD45	CD8	ADT_activation	42	-0.05422402173280716	0.3333333333333333	0.09021846950054169	0.13532770425081253	False	True
anti-mouse Ly49H	CD8	ADT_activation	42	-0.026199370622634888	0.35714285714285715	0.10273678600788116	0.15233385511513414	False	True
Rat IgG1,  isotype Ctrl	CD8	ADT_activation	42	-0.036262840032577515	0.3333333333333333	0.1053989827632904	0.15276931209510633	False	True
anti-mouse CD163	CD8	ADT_activation	42	-0.04442179203033447	0.35714285714285715	0.1053989827632904	0.15276931209510633	False	True
anti-mouse/rat CD61	CD8	ADT_activation	42	0.046328768134117126	0.5714285714285714	0.11088742315769196	0.15893863985935847	False	True
anti-mouse/rat CD81	CD8	ADT_activation	42	0.029919948428869247	0.5714285714285714	0.13188976049423218	0.18696460553577968	False	True
anti-mouse I-A/I-E	CD8	ADT_activation	42	-0.05546155199408531	0.3333333333333333	0.14178384840488434	0.19880561352423998	False	True
anti-mouse CD185 (CXCR5)	CD8	ADT_activation	42	0.014591211453080177	0.5952380952380952	0.14520563185214996	0.20141426353685318	False	True
