source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank
fibroblast	Lama4	Itgav_Itgb8	CD4	34	0.8114284519294205	0.18253558522014898	0.3781512605042016	0.5446699846561429	-0.5669977081741787	0.0681333722380128	0.6891265	0.0051899204345096	1.8817091	5.056158660183512e-07	False	C — correlational	0.1890756302521008	0.4284725999999999	0.38485655423445275	0.75	0.40026593143512584	Tier 3 — exploratory	3
NK	Tnfsf4	Tnfrsf4	CD4	43	0.06121715950435391	0.5369865034294565	-0.2621564482029598	0.7027466464625324	0.5247659317426758	0.0520938316243879	0.90017176	1.2458299388725386e-05	1.9858522	5.056158660183512e-07	False	C — correlational	0.2623829658713379	0.4810039933333334	0.18130854484035308	0.75	0.39834674535637227	Tier 3 — exploratory	3
T_cell	Pkm	Cd44	CD8	47	0.6782231957503377	0.6943984371682166	-0.5376965772432932	0.03943324681796973	0.4617252543940796	0.09653357311273301	0.72633934	2.259520716935255e-05	-0.06925821	0.6463675366823181	False	C — correlational	0.2308626271970398	0.12105655666666666	0.6862631617537605	0.75	0.39831869103638273	Tier 3 — exploratory	3
T_cell	Calr	Itgav	CD4	47	0.6105039733491235	0.5743048897411314	-0.22282608695652173	0.7621623264028842	0.28677150786308975	0.4891000339624999	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.14338575393154487	0.5185069999999999	0.5921278722546263	0.5	0.39823733832696595	Tier 3 — exploratory	3
monocyte_macrophage	Tnfsf12	Tnfrsf8	CD4	45	0.151806879795463	0.08982963345379454	0.11923583662714096	0.9176095062003817	0.256258234519104	0.5822965329699646	1.0535593	0.0127863749654505	3.9547806	5.056158660183512e-07	True	C — correlational	0.1877470355731225	0.8347233166666667	0.1167765231876283	0.5	0.3977475962547852	Tier 3 — exploratory	3
melanoma	Hapln1	Il1rl1	CD4	42	0.17841210818127382	0.12390294269488902	0.04837533425168139	0.9712803667175285	0.19844421035572482	0.7272365186224934	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	True	C — correlational	0.1234097723037031	0.8987173999999999	0.14868014398721408	0.5	0.3976087991037389	Tier 3 — exploratory	3
NK	Lgals1	Cd69	CD4	43	0.8944576771457604	0.6489416623644813	0.34143763213530653	0.5423389545011166	-0.05527031108426458	0.9413355242281999	1.9274054	1.9767398454773044e-06	-1.0030642	5.056158660183512e-07	False	C — correlational	0.17071881606765327	0.32123423333333334	0.7618732518743798	0.5	0.3924347943318879	Tier 3 — exploratory	3
neutrophil	Il15	Il2ra	CD4	19	0.36824131003466676	0.4436905376502692	0.07192982456140351	0.9725170202216085	-0.21403508771929824	0.8134106642344313	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	False	C — correlational	0.035964912280701755	0.7958205500000001	0.4042093329381705	0.5	0.3923847233858797	Tier 3 — exploratory	3
neutrophil	Ccl4	Ccr1	CD4	19	0.7091376908983326	0.05760011800280257	0.03859649122807017	0.9870245061358617	0.5614035087719299	0.29343496005707087	0.9877887	0.0003209118862604	2.4769979	2.4742761969152587e-05	True	C — correlational	0.30000000000000004	0.5774644333333333	0.20210495955314628	0.5	0.38978710024396257	Tier 3 — exploratory	3
melanoma	Nid1	Itgav	CD4	42	0.23940686160896335	0.5743048897411314	0.4820516975933879	0.2575829689944422	-0.4271128757799206	0.20366366789131848	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.24102584879669395	0.5185069999999999	0.3707998533705293	0.5	0.38814576775294873	Tier 3 — exploratory	3
fibroblast	Nid1	Itgav	CD4	34	0.861256271150112	0.5743048897411314	0.06432391138273491	0.9657953045265132	0.0346829640947288	0.9673740924169476	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	True	C — correlational	0.04950343773873185	0.5185069999999999	0.7032948797209625	0.5	0.38761192915274867	Tier 3 — exploratory	3
T_cell	Lamc1	Cd44	CD4	47	0.3356727852328798	0.7128106792536324	0.332099907493062	0.5325071712252106	0.5211609620721555	0.03453992140782381	0.9703646	1.9767398454773044e-06	-0.07839012	0.3301218053312729	False	C — correlational	0.42663043478260876	0.16172743333333334	0.48915349947517267	0.5	0.38758321040228094	Tier 3 — exploratory	3
NK	Icam1	Il2ra	CD4	43	0.4313303953890893	0.4436905376502692	-0.30066445182724255	0.6241253262359622	-0.08985200845665961	0.8998337148341948	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	False	C — correlational	0.0	0.7958205500000001	0.4374668159244633	0.5	0.38644850068489267	Tier 3 — exploratory	3
B_cell	Calr	Itgav	CD4	34	0.7450408066302517	0.5743048897411314	0.1437738731856379	0.9066728195048945	-0.2372803666921314	0.7047114608458159	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.07188693659281895	0.5185069999999999	0.654125812290289	0.5	0.38561234026554436	Tier 3 — exploratory	3
dendritic	Il15	Il2ra	CD4	38	0.28511146829659617	0.4436905376502692	0.08842197417377981	0.9462320003213643	-0.21098708688991027	0.7218414118453298	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	False	C — correlational	0.044210987086889905	0.7958205500000001	0.355670157110172	0.5	0.3855630144024459	Tier 3 — exploratory	3
T_cell	Pkm	Cd44	CD4	47	0.6782231957503377	0.7128106792536324	-0.025323774283071233	0.9852724770006067	0.6058048103607772	0.007419977779077409	0.9703646	1.9767398454773044e-06	-0.07839012	0.3301218053312729	False	C — correlational	0.3029024051803886	0.16172743333333334	0.695301903383248	0.5	0.38550808082311894	Tier 3 — exploratory	3
NK	Calr	Itgav	CD4	43	0.7225930243000751	0.5743048897411314	-0.019027484143763214	0.9900613902584695	0.14376321353065538	0.7992223299147302	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.07188160676532769	0.5185069999999999	0.6441961713238952	0.5	0.38362454663264367	Tier 3 — exploratory	3
melanoma	Lgals1	Cd69	CD4	42	0.8108054294938004	0.6489416623644813	0.33084839154039386	0.574564995959852	-0.15274288955514143	0.7896853398101472	1.9274054	1.9767398454773044e-06	-1.0030642	5.056158660183512e-07	False	C — correlational	0.16542419577019693	0.32123423333333334	0.7253726099528808	0.5	0.3832815488434784	Tier 3 — exploratory	3
neutrophil	Ltf	Il1rl1	CD4	19	0.07070651352038804	0.12390294269488902	-0.3585242795218639	0.7621623264028842	0.22671388263882572	0.7949323614880917	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.11335694131941286	0.8987173999999999	0.09359885198479752	0.5	0.38307404985875393	Tier 3 — exploratory	3
