candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
T_cell → Cd200 → Cd200r4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1962131666234138	0.0345399214078238	False	True	False	False	False	False	True	True	ADT-supported	1.1962131666234137
NK → Sema4a → Plxnd1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1961336473580555	0.7767824047850274	False	False	False	True	False	False	True	True	interaction-supported	1.1961336473580555
T_cell → Lamb2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1960594566173715	0.8823401650546169	False	False	False	False	True	False	True	True	interaction-supported	1.1960594566173715
melanoma → Plau → Itga3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1953286541725825	0.5674274129020822	False	False	False	False	False	False	True	True	interaction-supported	1.1953286541725825
NK → Hapln1 → Il1rl1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1944420074017735	0.6579275264595371	False	False	False	False	False	False	True	True	interaction-supported	1.1944420074017734
T_cell → Lama4 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1935157787786799	0.9232089776377648	False	False	False	False	True	False	True	True	interaction-supported	1.1935157787786799
T_cell → Cd274 → Cd80 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.193421792709033	0.7456374816035954	False	False	False	True	True	False	True	True	interaction-supported	1.193421792709033
T_cell → Tgfb1 → Acvrl1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1932472190698136	0.0681333722380128	False	True	False	True	False	False	True	True	ADT-supported	1.1932472190698136
melanoma → Ceacam2 → Havcr2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1924263181124584	0.7027466464625324	False	False	False	False	True	False	True	True	interaction-supported	1.1924263181124584
NK → Col9a2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1913627410488275	0.882803589945581	False	False	False	False	True	False	True	True	interaction-supported	1.1913627410488274
dendritic → Lamc2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1913088361595573	0.9356467438735124	False	False	False	False	True	False	True	True	interaction-supported	1.1913088361595574
T_cell → Col9a1 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1901788803113773	0.9323019852114952	False	False	False	False	True	False	True	True	interaction-supported	1.1901788803113773
T_cell → Col6a5 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1898939168271339	0.9272074411849766	False	False	False	False	True	False	True	True	interaction-supported	1.1898939168271339
NK → Tnf → Sema4c → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1893579550781929	0.767570981672891	False	False	False	True	False	False	True	False	interaction-supported	1.189357955078193
dendritic → Nid1 → Itga3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1890362729912878	0.7470385498995019	False	False	False	False	False	False	True	True	interaction-supported	1.1890362729912878
monocyte_macrophage → Lama5 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1890310338586752	0.8708628899462362	False	False	False	False	True	False	True	True	interaction-supported	1.1890310338586751
melanoma → H2-Eb1 → Lag3 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1884914493597284	0.2811292172676165	False	False	False	True	True	False	True	True	interaction-supported	1.1884914493597285
T_cell → Lgals8 → Itga3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1879578880892025	0.8998337148341948	False	False	False	True	False	False	True	True	interaction-supported	1.1879578880892026
monocyte_macrophage → Cd200 → Cd200r1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1869846179436637	0.4743759537202812	False	False	False	False	True	False	True	True	interaction-supported	1.1869846179436636
melanoma → Lamc2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1866958038285009	0.9533865322642112	False	False	False	False	True	False	True	True	interaction-supported	1.186695803828501
melanoma → Pcsk9 → Cd81 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1866348422819457	0.7957356502225071	False	False	False	False	True	False	True	True	interaction-supported	1.1866348422819457
T_cell → Lama5 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1862728776233831	0.8715416278098064	False	False	False	False	True	False	True	True	interaction-supported	1.186272877623383
melanoma → Tnfsf18 → Tnfrsf18 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1859463689097645	0.7896853398101472	False	False	False	False	True	False	True	True	interaction-supported	1.1859463689097645
melanoma → Cx3cl1 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1852745528220021	0.7622983998291055	False	False	False	False	True	False	True	True	interaction-supported	1.1852745528220021
monocyte_macrophage → Icosl → Ctla4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1849510994539122	0.9323019852114952	False	False	False	False	True	False	True	True	interaction-supported	1.184951099453912
melanoma → Tnfsf4 → Tnfrsf4 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1827542702785587	0.7199366960291684	False	False	False	False	True	False	True	True	interaction-supported	1.1827542702785587
NK → Cd28 → Cd80 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1821963173653008	0.8806272825319869	False	False	False	True	True	False	True	True	interaction-supported	1.1821963173653007
NK → Ntn1 → Dscam → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1819542521482458	0.6701345791281998	False	False	False	False	False	False	True	True	interaction-supported	1.1819542521482458
melanoma → H2-Ab1 → Lag3 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.181536042015507	0.5777019111791588	False	False	False	True	True	False	True	True	interaction-supported	1.181536042015507
T_cell → Sema3e → Plxnd1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1806909497673716	0.4760547459276221	False	False	False	False	False	False	True	True	interaction-supported	1.1806909497673717
T_cell → Nampt → Adora2a → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1802147981125277	0.6045847282388298	False	False	False	True	True	False	True	True	interaction-supported	1.1802147981125277
dendritic → Col9a3 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1801497159239553	0.9768512995899415	False	False	False	False	True	False	True	True	interaction-supported	1.1801497159239553
NK → Lamc2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1795251547469401	0.9657953045265132	False	False	False	False	True	False	True	True	interaction-supported	1.17952515474694
