candidate	statistical_status	biological_status	mechanistic_status	experimental_status	LOOCV_status	null_status	external_evidence_status	phase2_decision	decision_reason
Coro2a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Crabp2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dennd4c	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dennd4c	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dpp4	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dusp10	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dusp5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Eea1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Elovl5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fam49a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fam69a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fam69a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Furin	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gadd45b	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm26740	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm30054	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm4070	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Irf8	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Capg	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ccr7	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cdk19	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cdk19	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cxcr4	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fbxl20	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Crem	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ctla4	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ece1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm11290	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
9930111J21Rik2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
9930111J21Rik2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ctse	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ctse	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm2682	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Baz2b	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ero1l	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fgl2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fgl2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Stat5a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Stat5a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm2245	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
1700025G04Rik	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
1700025G04Rik	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gab3	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Eya2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Lamc1 → Itga7_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Ccl11 → Ccr5 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
Cenpa	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Fchsd2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Pdcd1lg2 → Rgmb → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
A430078G23Rik	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
fibroblast → Ccl11 → Ccr3 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Acvrl1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Penk → Oprm1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Ccl11 → Dpp4 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Ccl11 → Ccr2 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Ccl11 → Cxcr3 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Tgfbr1_Tgfbr2 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Itgb3 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Ccr8 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Vim → Cd44 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Itgb8 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tgfb1 → Cxcr4 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
