candidate	statistical_status	biological_status	mechanistic_status	experimental_status	LOOCV_status	null_status	external_evidence_status	phase2_decision	decision_reason
NK → Col2a1 → Itga2b → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Col9a1 → Mag → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Lin7c → Abca1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col11a2 → Itga2_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col28a1 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col2a1 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Impg2 → Prlr → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Thbs2 → Notch4 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Cgn → Tgfbr1 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Cd72 → Cd5 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
NK → Col9a2 → Itga9_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col2a1 → Mag → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Col9a1 → Gp6 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Hapln1 → Ager → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col2a1 → Gp6 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Tnc → Itgav_Itgb6 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col4a2 → Itga3_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Mmp7 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → C1qtnf1 → Avpr2 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Cadm3 → Cadm1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Mmp7 → Erbb4 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Mag → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Mmp9 → Itgam → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Thbs2 → Notch3 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Hspg2 → Lrp2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col9a2 → Gp6 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Clec3a → Clec10a → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Cd200 → Cd200r2 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lama2 → Itgav_Itgb8 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
fibroblast → Col6a5 → Itga9_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Clec3a → Mgl2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Comp → Cd47 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Itga3_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Tnr → Itgav_Itgb6 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Il2 → Il2rb_Il2rg → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Wnt5a → Ptprk → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Ceacam2 → Egfr → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Serpinc1 → Lrp1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Lamc3 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col1a2 → Flt4 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Crp → Olr1 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
NK → Dcn → Met → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col4a3 → Gp6 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Sele → Glg1 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Vwf → Lrp1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col3a1 → Mag → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Anxa1 → Egfr → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Tnr → Itga8_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Lama4 → Itgav_Itgb8 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Col20a1 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col6a2 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Hapln1 → Tnfrsf11b → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col5a3 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Col15a1 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Angptl4 → Cdh5 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col3a1 → Ddr1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col24a1 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Vtn → Itgav_Itgb8 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Mmp9 → Lrp1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col5a3 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Col1a1 → Itga5 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Prn → Rpsa → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
melanoma → Col1a1 → Flt4 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Serping1 → Lrp1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Col4a3 → Cd47 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col9a1 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Cd59b → Cd2 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
fibroblast → Col6a1 → Gp6 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col4a1 → Cd93 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col6a5 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Cthrc1 → Fzd6 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Sema3c → Nrp1_Nrp2_Plxnd1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → H2-DMa → Cd4 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Ntn1 → Dcc → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Ntn1 → Unc5a → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col1a1 → Cd36 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Mif → Cd44_Cd74 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
melanoma → Adam2 → Itgb1 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
melanoma → Ptn → Ptprs → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Tctn1 → Tmem67 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Gnai2 → Oprm1 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
melanoma → Col9a1 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Itga3_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col6a5 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Il1rapl1 → Ptprs → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
NK → Col20a1 → Itga2_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Ntn1 → Neo1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Itga9_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Prss2 → F2rl3 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Ntn1 → Unc5c → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Col20a1 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Spon1 → App → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col4a3 → Itga3_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Lin7c → Abca1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → H2-Ob → Cd4 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Ntn1 → Unc5d → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Ntn1 → Unc5b → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Col11a2 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Ncam1 → Robo1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Itga9_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tctn1 → Tmem67 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Col11a1 → Itga2_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Jam3 → Itgam_Itgb2 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Col22a1 → Itga2_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col6a5 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Dscam → Dcc → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Ado → Adora2b → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Icam4 → Itgav → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Col9a2 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col1a1 → Gp6 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col5a2 → Itga11_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Vcan → Tlr1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Mag → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Col9a1 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Prss2 → F2r → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Itgav_Itgb8 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Igsf10 → Cd200r2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a2 → Gp6 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Arf6 → Smap1 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Col1a1 → Cd93 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Spon2 → Itgb2 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Col9a3 → Itga10_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Sema3d → Plxnd1 → CD4	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
monocyte_macrophage → Ltbp1 → Itgb5 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Col5a1 → Itga10_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Vcam1 → Itga4_Itgb7 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
fibroblast → Col9a3 → Itga3_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Selplg → Itgb2 → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Adam28 → Itga4 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
B_cell → Impg2 → Prlr → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Igsf10 → Mag → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Slpi → Plscr1 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Igsf10 → Cd200r2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Npy → Dpp4 → CD8	PASS	FAIL	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
neutrophil → Anxa1 → Grm7 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Mfge8 → Itgb5 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Vcam1 → Itgad_Itgb2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tnxb → Sdc1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Tnfsf4 → Tnfrsf4 → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Mfge8 → Pdgfrb → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
B_cell → Col9a3 → Mag → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Tnxb → Itga2b_Itgb3 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col1a1 → Sdc1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Col1a1 → Itga10_Itgb1 → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Igsf10 → Mag → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
dendritic → Il18 → Il18r1_Il18rap → CD4	FAIL	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
dendritic → Ltbp1 → Itgb5 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
