candidate	candidate_family_id	n_mice_supporting	n_mice_opposing	direction_consistency	expected_direction	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_runs	LOOCV_failed_runs	LOOCV_top1_runs	LOOCV_top3_runs	LOOCV_top10_runs	LOOCV_top1_fraction	LOOCV_top10_fraction	LOOCV_top3_fraction	LOOCV_rank_median	LOOCV_rank_mean	LOOCV_rank_min	LOOCV_rank_max	LOOCV_rank_IQR	LOOCV_score_median	LOOCV_score_min	LOOCV_score_max	LOOCV_failure_reason	n_positive	n_negative	n_zero_or_undetermined	n_mice_effects	majority_direction	majority_direction_fraction	two_sided_direction_strength	n_mice
T_cell → Timp2 → Cd44 → CD4	MULTI|T_cell|Timp2	0	0		UNRESOLVED	0.0002063089016065	0.0006727213670561	0.0012041715081559	positive	47	0	0	0	0	0.0	0.0	0.0	162.0	161.4468085106383	154.0	167.0	4.5	0.5924275499669648	0.5924275499669648	0.5960507383727619		28	18	1	47	positive	0.5957446808510638	0.1914893617021276	47
melanoma → Agrn → Itgb1 → CD8	MULTI|melanoma|Agrn	0	0		UNRESOLVED	-2.513721084617283e-05	3.680250814687826e-05	0.0010632036550069	negative	42	0	0	0	0	0.0	0.0	0.0	156.0	154.23809523809524	145.0	164.0	9.0	0.5947178965569758	0.5947178965569758	0.5987829372073824		19	22	1	42	negative	0.5238095238095238	0.0476190476190476	42
T_cell → Grn → Tnfrsf1b → CD8	MULTI|T_cell|Grn	0	0		UNRESOLVED	-0.0003838636919164	-0.0009889303767122	0.0016199423323388	negative	47	0	0	0	0	0.0	0.0	0.0	223.0	222.3617021276596	217.0	226.0	3.5	0.5368215459727221	0.5368215459727221	0.5404447343785193		15	31	1	47	negative	0.6595744680851063	0.3191489361702126	47
melanoma → B2m → Tfrc → CD4	MULTI|melanoma|B2m	0	0		UNRESOLVED	-9.691029199521444e-05	0.0028395741923284	0.0103365506356005	negative	42	0	0	0	0	0.0	0.0	0.0	261.0	261.1190476190476	260.0	263.0	0.0	0.5134702618153502	0.5134702618153502	0.5134702618153502		20	21	1	42	negative	0.5	0.0	42
T_cell → Lamc1 → Itga6_Itgb1 → CD4	MULTI|T_cell|Lamc1	0	0		UNRESOLVED	0.0003708434577323	0.0032878392445278	0.0081471849608575	positive	47	0	0	0	0	0.0	0.0	0.0	96.0	94.87234042553192	89.0	99.0	5.0	0.6172531192261292	0.6172531192261292	0.6208763076319262		30	16	1	47	positive	0.6382978723404256	0.2765957446808511	47
T_cell → Lamc1 → Itga3_Itgb1 → CD4	MULTI|T_cell|Lamc1	0	0		UNRESOLVED	0.0003708434577323	0.0032878392445278	0.0081471849608575	positive	47	0	0	0	0	0.0	0.0	0.0	96.0	94.87234042553192	89.0	99.0	5.0	0.6172531192261292	0.6172531192261292	0.6208763076319262		30	16	1	47	positive	0.6382978723404256	0.2765957446808511	47
T_cell → Cd200 → Cd200r1 → CD4	MULTI|T_cell|Cd200	0	0		UNRESOLVED	-2.2606048348374885e-06	0.0001591594551129	0.000768981783587	negative	47	0	0	0	0	0.0	0.0	0.0	195.0	195.59574468085103	187.0	201.0	7.0	0.5788473221246799	0.5788473221246799	0.582470510530477		22	24	1	47	negative	0.5106382978723404	0.0212765957446807	47
NK → Spp1 → Itgav_Itgb3 → CD8	MULTI|NK|Spp1	0	0		UNRESOLVED	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	43	0	0	0	0	0.0	0.0	0.0	84.0	83.67441860465117	81.0	86.0	0.5	0.6245907550109892	0.6245907550109892	0.6285590089792431		12	30	1	43	negative	0.6976744186046512	0.3953488372093023	43
melanoma → Col4a4 → Cd44 → CD8	MULTI|melanoma|Col4a4	0	0		UNRESOLVED	-2.4548307397904267e-05	0.0005058721706588	0.0007559125022706	negative	42	0	0	0	0	0.0	0.0	0.0	190.0	188.0	175.0	193.0	7.0	0.5814925966697867	0.5814925966697867	0.5855576373201932		18	23	1	42	negative	0.5476190476190477	0.0952380952380953	42
NK → Thy1 → Itgav_Itgb3 → CD8	MULTI|NK|Thy1	0	0		UNRESOLVED	-0.0015276517692789	-0.0067004442314496	0.0125934178950866	negative	43	0	0	0	0	0.0	0.0	0.0	95.0	95.46511627906976	90.0	102.0	7.0	0.618050351873538	0.618050351873538	0.6220186058417919		10	32	1	43	negative	0.7441860465116279	0.4883720930232558	43
T_cell → Col18a1 → Ptprs → CD4	MULTI|T_cell|Col18a1	0	0		UNRESOLVED	2.0849990584546088e-05	0.0001389548906722	0.0004210945423723	positive	47	0	0	0	0	0.0	0.0	0.0	240.0	239.3617021276596	233.0	246.0	6.0	0.5221880006817184	0.5221880006817184	0.5258111890875156		26	20	1	47	positive	0.5531914893617021	0.1063829787234043	47
melanoma → Lama4 → Cd44 → CD8	MULTI|melanoma|Lama4	0	0		UNRESOLVED	-8.033537009463679e-05	0.0003925453887112	0.0033433052860556	negative	42	0	0	0	0	0.0	0.0	0.0	260.0	257.23809523809524	249.0	261.0	5.0	0.5136694244077308	0.5136694244077308	0.5177344650581374		19	22	1	42	negative	0.5238095238095238	0.0476190476190476	42
T_cell → Tnfsf4 → Tnfrsf4 → CD8	MULTI|T_cell|Tnfsf4	0	0		UNRESOLVED	-1.6798504130284953e-05	-0.000278016363983	0.0012034594935429	negative	47	0	0	0	0	0.0	0.0	0.0	128.0	129.04255319148936	119.0	139.0	15.0	0.6034803783699697	0.6034803783699697	0.6071035667757668		19	27	1	47	negative	0.574468085106383	0.148936170212766	47
T_cell → Fam3c → Pdcd1 → CD4	MULTI|T_cell|Fam3c	0	0		UNRESOLVED	8.467463242669776e-05	0.0006081615852683	0.0021497152240829	positive	47	0	0	0	0	0.0	0.0	0.0	110.0	111.55319148936172	105.0	132.0	11.0	0.61004569357208	0.61004569357208	0.6136688819778772		27	19	1	47	positive	0.574468085106383	0.148936170212766	47
melanoma → Nid1 → Itgav → CD8	MULTI|melanoma|Nid1	0	0		UNRESOLVED	4.186955577012348e-05	5.31649792761383e-05	0.0005157366801831	positive	42	0	0	0	0	0.0	0.0	0.0	175.5	175.33333333333334	167.0	188.0	10.0	0.5861525253508527	0.5861525253508527	0.5902175660012592		23	18	1	42	positive	0.5476190476190477	0.0952380952380953	42
monocyte_macrophage → Plau → Igf2r → CD8	MULTI|monocyte_macrophage|Plau	0	0		UNRESOLVED	0.000145588029985	0.0007747108674579	0.0056462367781572	positive	45	0	0	0	0	0.0	0.0	0.0	138.0	138.44444444444446	127.0	145.0	8.0	0.6009340006824475	0.6009340006824475	0.6047218794703263		25	19	1	45	positive	0.5555555555555556	0.1111111111111111	45
melanoma → App → Cd74 → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	148.5	149.16666666666666	145.0	154.0	4.0	0.5983043932519488	0.5983043932519488	0.5983043932519488		21	20	1	42	positive	0.5	0.0	42
melanoma → App → Notch2 → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	148.5	149.16666666666666	145.0	154.0	4.0	0.5983043932519488	0.5983043932519488	0.5983043932519488		21	20	1	42	positive	0.5	0.0	42
melanoma → Arf1 → Insr → CD8	MULTI|melanoma|Arf1	0	0		UNRESOLVED	-0.0003635034884198	0.0019976821360949	0.0049411402145635	negative	42	0	0	0	0	0.0	0.0	0.0	243.0	243.04761904761904	234.0	252.0	9.75	0.5204973529062664	0.5204973529062664	0.5245623935566729		17	24	1	42	negative	0.5714285714285714	0.1428571428571428	42
melanoma → Sorbs1 → Itga1 → CD8	MULTI|melanoma|Sorbs1	0	0		UNRESOLVED	-0.0004254810245009	0.0022375782599816	0.0057761218097254	negative	42	0	0	0	0	0.0	0.0	0.0	238.0	238.33333333333337	233.0	246.0	5.0	0.5226886557635119	0.5226886557635119	0.5267536964139183		16	25	1	42	negative	0.5952380952380952	0.1904761904761904	42
