candidate	removed_mouse	n_mice_remaining	n_supporting_remaining	n_opposing_remaining	direction_consistency_remaining	median_effect_remaining	fold_pre_robustness_score	fold_score	fold_rank	n_competing_candidates	eligible_after_removal	failure_reason
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_054_D:A0311	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_054_D:A0312	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_054_D:A0313	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_1a:A0310	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_1a:A0311	18	0	0		-0.0006236860759285605	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_1b:A0310	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_1b:A0311	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2a:A0307	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2a:A0308	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2a:A0310	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2a:A0312	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2b:A0307	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2b:A0310	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_2b:A0312	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_3a:A0310	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_3a:A0311	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_3b:A0310	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_3b:A0311	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_6a:A0308	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_053_6b:A0308	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_054_A:A0312	18	0	0		-0.00014026924356689047	0.5931131673410864	0.5931131673410864	107.0	279	True	
neutrophil → Vegfa → Itgav → CD4	Masopust_054_D:A0311	18	0	0		-0.0007256430625667584	0.5931131673410864	0.5931131673410864	107.0	279	True	
fibroblast → Lama4 → Cd44 → CD4	Masopust_053_1a:A0307	33	0	0		0.0008069915572136543	0.5097220009605953	0.5097220009605953	251.0	279	True	
fibroblast → Lama4 → Cd44 → CD4	Masopust_053_1a:A0309	33	0	0		0.0008069915572136543	0.5097220009605953	0.5097220009605953	251.0	279	True	
fibroblast → Lama4 → Cd44 → CD4	Masopust_053_1a:A0310	33	0	0		0.0008069915572136543	0.5097220009605953	0.5097220009605953	251.0	279	True	
