candidate	candidate_family_id	null_test_type	expected_direction	observed_statistic	observed_score	null_mean	null_sd	null_p95	null_p99	empirical_p	null_percentile	null_p95	null_p99	n_unique_null_scores	fraction_identical_to_observed	n_permutations	random_seed	null_status	null_model_type	empirical_FDR
fibroblast → Adam10 → Tspan14 → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.521109307472572	0.521109307472572	0.5250504839431602	0.00838447972102231	0.5407171506098271	0.5505210721784545	0.7252747252747253	0.506	0.5407171506098271	0.5505210721784545	10	0.231	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Ccl11 → Dpp4 → CD4	LR|fibroblast|Ccl11	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6126631774311835	0.6126631774311835	0.6020406284115757	0.008230494341235843	0.6175651382154972	0.6224670989998109	0.17682317682317683	0.914	0.6175651382154972	0.6224670989998109	9	0.09	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.33749923545841914
fibroblast → Adam10 → Notch2 → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.521109307472572	0.521109307472572	0.5251583270804151	0.00839041007109262	0.5407171506098271	0.5505210721784545	0.7362637362637363	0.524	0.5407171506098271	0.5505210721784545	10	0.26	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Icam1 → Spn → CD8	LR|fibroblast|Icam1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5966963076047361	0.5966963076047361	0.6004855232910106	0.008332570611000692	0.6163041507419911	0.6261080723106185	0.7242757242757243	0.523	0.6163041507419911	0.6261080723106185	10	0.247	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Icam1 → Il2rg → CD8	LR|fibroblast|Icam1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5966963076047361	0.5966963076047361	0.6004316017223832	0.008074640982088259	0.6163041507419911	0.6212061115263048	0.7362637362637363	0.526	0.6163041507419911	0.6212061115263048	9	0.262	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
neutrophil → Lamb3 → Itga3_Itgb1 → CD4	LR|neutrophil|Lamb3	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5797097100869358	0.5797097100869358	0.5871658504378131	0.009575074726457045	0.6060254995606201	0.6147974293851814	1.0	0.516	0.6060254995606201	0.6147974293851814	7	0.516	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
fibroblast → Adam10 → Notch1 → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.521109307472572	0.521109307472572	0.5251681310019838	0.00845132158903611	0.5407171506098271	0.5456681310019839	0.7422577422577422	0.52	0.5407171506098271	0.5456681310019839	10	0.262	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8604507525669352
neutrophil → Pdcd1lg2 → Rgmb → CD8	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6056327201777819	0.6056327201777819	0.6040537728093609	0.009860523155365898	0.6231765798269047	0.6319485096514661	0.45454545454545453	0.772	0.6231765798269047	0.6319485096514661	7	0.226	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Ccl11 → Ccr5 → CD4	LR|fibroblast|Ccl11	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6126631774311835	0.6126631774311835	0.602481804882164	0.008835872358213552	0.6175651382154972	0.6273690597841246	0.17782217782217782	0.905	0.6175651382154972	0.6273690597841246	10	0.082	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.33749923545841914
neutrophil → Hdc → Hrh2 → CD8	LR|neutrophil|Hdc	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5595542685433433	0.5595542685433433	0.5233261983679047	0.00978807447712963	0.5420104088942206	0.5507823387187819	0.006993006993006993	0.999	0.5420104088942206	0.5507823387187819	7	0.005	1000	17	PASS	within-candidate mouse-effect sign permutation	0.023793279890840867
