leiden_harmony	score_T_cell	score_NK	score_B_cell	score_monocyte_macrophage	score_dendritic	score_neutrophil	score_melanoma	score_endothelial	score_fibroblast	provisional_cell_type	manual_review_required
17	-0.11163678228855134	0.08110378152572073	0.007404141426086475	0.29605124473571776	-0.05229864865541458	-0.028860359578519255	-0.6150868344306946	-0.07991971850395202	-0.10829717953999837	monocyte_macrophage	True
18	-0.6690397262573242	0.46874460677972574	-0.21016114632288616	0.03245081623395285	-0.05283805251121521	2.4042667891528153	-0.17889485239982605	-0.06614294290542602	-0.05705520391464233	neutrophil	True
19	0.5108242762088776	-0.010466941151042908	-0.3057714894413948	-0.20223127007484437	-0.042045239806175236	-0.03308434542771932	-0.49917398571968075	-0.11162527561187743	-0.08188554604848226	T_cell	True
20	-0.7812844628095628	0.9007454156475578	-0.3911850922306379	-0.28647141004602117	-0.0596832949668169	-0.07393266180077114	-0.7078395731747151	-0.05555576443672179	-0.13900485505660376	NK	True
21	-0.7910599374771118	-0.3751558857476151	-0.4018315577507019	-0.18884432792663575	-0.06139778673648835	-0.07272547161256945	-0.4654496908187866	-0.101457359790802	1.2000143565734227	fibroblast	True
22	-1.0239832162857057	-0.42347577074230114	1.8741140109300614	-0.18473674476146698	-0.042726576030254364	-0.0371033162684054	-0.38365656733512876	0.20660778284072875	-0.07607722361882527	B_cell	True
23	-0.911340583562851	-0.39129972737907565	-0.3459900387128194	-0.18466228604316712	-0.0634351772069931	-0.054119241398734017	1.9891223579645159	-0.10347502171993256	-0.12113604446252188	melanoma	True
24	-0.9276747989654541	-0.47731136155608517	-0.47614622513453164	-0.26856283108393353	-0.09470041334629059	-0.08410025005405014	2.0074041724205016	-0.1259075665473938	1.443691707054774	melanoma	True
25	-0.9791175478696823	-0.5086164212466886	-0.49739327942331635	-0.3448604911565781	-0.058201433420181276	-0.08383302259686831	-0.6884067863225938	1.914626353122294	-0.15234518150488535	endothelial	True
26	-1.1448516416549683	0.33124272205285576	0.31647769590218866	-0.2825844605763753	0.38394500106573104	-0.05898211372865213	-0.6469380754232407	0.3104222923517227	-0.12545183181762695	dendritic	True
27	-0.8100355434417724	-0.3382996872767506	-0.350523099899292	-0.18271481831868489	-0.09094311475753784	-0.07878681936779537	-0.37238619327545164	-0.11248326778411866	2.2218850032488504	fibroblast	True
