TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Atf6	CD4	48h_vs_12h	48	12	-0.09666252069893323	0.14857906976100282	0.4953185625969619	4	0.75
Batf	CD4	48h_vs_12h	48	12	-0.24389880386926605	0.14038092686964546	0.4953185625969619	4	0.75
E2f7	CD4	48h_vs_12h	48	12	0.19061282217316478	0.13991046907604923	0.4953185625969619	4	1.0
Etv1	CD4	48h_vs_12h	48	12	-0.013281003107235173	0.14488470330989853	0.4953185625969619	4	0.75
Foxo3	CD4	48h_vs_12h	48	12	-0.2640789271710896	0.13117562885767348	0.4953185625969619	4	0.75
Hsf1	CD4	48h_vs_12h	48	12	-0.09428506767599742	0.13864135337397268	0.4953185625969619	4	0.75
Jund	CD4	48h_vs_12h	48	12	-0.24709807626071292	0.14875904025189285	0.4953185625969619	4	0.75
Klf6	CD4	48h_vs_12h	48	12	-0.1929491808549986	0.14552636687215748	0.4953185625969619	4	0.5
Myb	CD4	48h_vs_12h	48	12	-0.10182898408713023	0.1405178901656669	0.4953185625969619	4	0.5
Myc	CD4	48h_vs_12h	48	12	0.3827530857811757	0.14504051816367197	0.4953185625969619	4	0.75
Ncoa1	CD4	48h_vs_12h	48	12	-0.19851967278246788	0.12577187343643415	0.4953185625969619	4	0.75
Nr2f2	CD4	48h_vs_12h	48	12	0.056244497490215935	0.1395018000901266	0.4953185625969619	4	0.75
Prox1	CD4	48h_vs_12h	48	12	-0.11250638845741265	0.13878358581596517	0.4953185625969619	4	0.75
Rel	CD4	48h_vs_12h	48	12	-0.2656983048317476	0.12291438745959683	0.4953185625969619	4	0.75
Rfx2	CD4	48h_vs_12h	48	12	0.16798203312742332	0.14615955491367064	0.4953185625969619	4	0.75
Smad3	CD4	48h_vs_12h	48	12	-0.025125605889159748	0.12126386323453257	0.4953185625969619	4	0.75
Tfap2c	CD4	48h_vs_12h	48	12	-0.02817733524958094	0.12864299334578208	0.4953185625969619	4	0.75
Usf1	CD4	48h_vs_12h	48	12	0.1692637434998785	0.13425577862916835	0.4953185625969619	4	0.75
Cux1	CD4	48h_vs_12h	48	12	0.19148479443740588	0.15425136978485582	0.5080235330957751	4	0.75
Vdr	CD4	48h_vs_12h	48	12	-0.23173703852690147	0.15601274794276698	0.5082995981361118	4	0.75
Foxk2	CD4	48h_vs_12h	48	12	-0.13976198373157223	0.15811172200383494	0.5096579975229999	4	0.5
Mef2c	CD4	48h_vs_12h	48	12	-0.08090477467343841	0.16175929324504623	0.5159270089815685	4	1.0
Nr2c2	CD4	48h_vs_12h	48	12	0.09955997022821605	0.16746690506028705	0.528567419096531	4	0.75
Bhlhe22	CD4	48h_vs_12h	48	12	-0.03364201230465553	0.17179059681980235	0.5297891921948791	4	0.75
